plot,treatment,colour,year,grain
18,N1+N2+N1 PKMg,#FFD700,1993,6.73
19,N1+N1+N1 KMg,#FF8C00,1993,1.29
21,FYM N2,#8B0000,1993,9.33
22,FYM,#FF0000,1993,6.44
3,Nil,#00BFFF,1993,0.6
5,PKMg,#FF00FF,1993,0.85
6,N1 PKMg,#FF4500,1993,3.46
7,N2 PKMg,#9ACD32,1993,4.53
8,N3 PKMg,#00FA9A,1993,5.14
9,N4 PKMg,#00FFFF,1993,6.97
10,N4,#8FBC8F,1994,1.95
11,N4 PMg,#7FFFD4,1994,2.79
12,N1+N3+N1 PKMg,#228B22,1994,4.19
13,N4 PK,#6B8E23,1994,5.28
14,N4 PKMg*,#008080,1994,5.45
15,N5 PKMg,#00008B,1994,7.36
16,N6 PKMg,#7B68EE,1994,7.62
17,N1+N4+N1 PKMg,#32CD32,1994,6.11
18,N1+N2+N1 PKMg,#FFD700,1994,6.62
19,N1+N1+N1 KMg,#FF8C00,1994,1.45
21,FYM N2,#8B0000,1994,7.07
22,FYM,#FF0000,1994,4.22
3,Nil,#00BFFF,1994,0.27
5,PKMg,#FF00FF,1994,0.53
6,N1 PKMg,#FF4500,1994,3.05
7,N2 PKMg,#9ACD32,1994,4.39
8,N3 PKMg,#00FA9A,1994,5.62
9,N4 PKMg,#00FFFF,1994,5.79
10,N4,#8FBC8F,1995,0
11,N4 PMg,#7FFFD4,1995,2.74
12,N1+N3+N1 PKMg,#228B22,1995,3.04
13,N4 PK,#6B8E23,1995,4.86
14,N4 PKMg*,#008080,1995,4.58
15,N5 PKMg,#00008B,1995,6.48
16,N6 PKMg,#7B68EE,1995,7.58
17,N1+N4+N1 PKMg,#32CD32,1995,6.22
18,N1+N2+N1 PKMg,#FFD700,1995,6.84
19,N1+N1+N1 KMg,#FF8C00,1995,1.49
21,FYM N2,#8B0000,1995,7.38
22,FYM,#FF0000,1995,5.27
3,Nil,#00BFFF,1995,1.1
5,PKMg,#FF00FF,1995,0.86
6,N1 PKMg,#FF4500,1995,4.33
7,N2 PKMg,#9ACD32,1995,5.32
8,N3 PKMg,#00FA9A,1995,5.56
9,N4 PKMg,#00FFFF,1995,6.67
10,N4,#8FBC8F,1996,3.58
11,N4 PMg,#7FFFD4,1996,3.64
12,N1+N3+N1 PKMg,#228B22,1996,4.21
13,N4 PK,#6B8E23,1996,5.78
14,N4 PKMg*,#008080,1996,5.61
15,N5 PKMg,#00008B,1996,7.89
16,N6 PKMg,#7B68EE,1996,8.5
17,N1+N4+N1 PKMg,#32CD32,1996,8.2
18,N1+N2+N1 PKMg,#FFD700,1996,7.36
19,N1+N1+N1 KMg,#FF8C00,1996,2.23
21,FYM N2,#8B0000,1996,7.81
22,FYM,#FF0000,1996,5.42
3,Nil,#00BFFF,1996,0.95
5,PKMg,#FF00FF,1996,1.63
6,N1 PKMg,#FF4500,1996,3.95
7,N2 PKMg,#9ACD32,1996,5.84
8,N3 PKMg,#00FA9A,1996,7.11
9,N4 PKMg,#00FFFF,1996,8.03
10,N4,#8FBC8F,1997,2.54
11,N4 PMg,#7FFFD4,1997,2.66
12,N1+N3+N1 PKMg,#228B22,1997,3.61
13,N4 PK,#6B8E23,1997,5.62
14,N4 PKMg*,#008080,1997,5.81
15,N5 PKMg,#00008B,1997,7.83
16,N6 PKMg,#7B68EE,1997,8.83
17,N1+N4+N1 PKMg,#32CD32,1997,7.31
18,N1+N2+N1 PKMg,#FFD700,1997,7.33
19,N1+N1+N1 KMg,#FF8C00,1997,1.29
21,FYM N2,#8B0000,1997,7.82
22,FYM,#FF0000,1997,4.47
3,Nil,#00BFFF,1997,0.77
5,PKMg,#FF00FF,1997,0.92
6,N1 PKMg,#FF4500,1997,3.11
7,N2 PKMg,#9ACD32,1997,5.17
8,N3 PKMg,#00FA9A,1997,6.59
9,N4 PKMg,#00FFFF,1997,7.37
10,N4,#8FBC8F,1998,2.81
11,N4 PMg,#7FFFD4,1998,3.36
12,N1+N3+N1 PKMg,#228B22,1998,3.31
13,N4 PK,#6B8E23,1998,4.46
14,N4 PKMg*,#008080,1998,4.61
15,N5 PKMg,#00008B,1998,8.02
16,N6 PKMg,#7B68EE,1998,8.39
17,N1+N4+N1 PKMg,#32CD32,1998,7.32
18,N1+N2+N1 PKMg,#FFD700,1998,6.94
19,N1+N1+N1 KMg,#FF8C00,1998,2.45
21,FYM N2,#8B0000,1998,8.31
22,FYM,#FF0000,1998,4.65
3,Nil,#00BFFF,1998,1.28
5,PKMg,#FF00FF,1998,1.19
6,N1 PKMg,#FF4500,1998,2.34
7,N2 PKMg,#9ACD32,1998,3.77
8,N3 PKMg,#00FA9A,1998,4.96
9,N4 PKMg,#00FFFF,1998,7.19
10,N4,#8FBC8F,1999,1.23
11,N4 PMg,#7FFFD4,1999,2.54
12,N1+N3+N1 PKMg,#228B22,1999,3.41
13,N4 PK,#6B8E23,1999,5.62
14,N4 PKMg*,#008080,1999,5.42
15,N5 PKMg,#00008B,1999,8.28
16,N6 PKMg,#7B68EE,1999,7.61
17,N1+N4+N1 PKMg,#32CD32,1999,6.91
18,N1+N2+N1 PKMg,#FFD700,1999,6.56
19,N1+N1+N1 KMg,#FF8C00,1999,1.11
21,FYM N2,#8B0000,1999,7.82
22,FYM,#FF0000,1999,4.57
3,Nil,#00BFFF,1999,0.93
5,PKMg,#FF00FF,1999,1.19
6,N1 PKMg,#FF4500,1999,3.14
7,N2 PKMg,#9ACD32,1999,5.19
8,N3 PKMg,#00FA9A,1999,6.42
9,N4 PKMg,#00FFFF,1999,6.92
10,N4,#8FBC8F,2000,2.13
11,N4 PMg,#7FFFD4,2000,2.26
12,N1+N3+N1 PKMg,#228B22,2000,3.61
13,N4 PK,#6B8E23,2000,5.52
14,N4 PKMg*,#008080,2000,4.92
15,N5 PKMg,#00008B,2000,7.29
16,N6 PKMg,#7B68EE,2000,7.79
17,N1+N4+N1 PKMg,#32CD32,2000,7.33
18,N1+N2+N1 PKMg,#FFD700,2000,7.14
19,N1+N1+N1 KMg,#FF8C00,2000,2.12
21,FYM N2,#8B0000,2000,7.35
22,FYM,#FF0000,2000,5.54
3,Nil,#00BFFF,2000,0.73
5,PKMg,#FF00FF,2000,0.92
6,N1 PKMg,#FF4500,2000,2.82
7,N2 PKMg,#9ACD32,2000,4.66
8,N3 PKMg,#00FA9A,2000,4.96
9,N4 PKMg,#00FFFF,2000,6.51
10,N4,#8FBC8F,2001,1.59
11,N4 PMg,#7FFFD4,2001,1.94
12,N1+N3+N1 PKMg,#228B22,2001,5.26
13,N4 PK,#6B8E23,2001,4.45
14,N4 PKMg*,#008080,2001,4.74
15,N5 PKMg,#00008B,2001,4.95
16,N6 PKMg,#7B68EE,2001,5.17
17,N1+N4+N1 PKMg,#32CD32,2001,5.07
18,N1+N2+N1 PKMg,#FFD700,2001,3.67
19,N1+N1+N1 KMg,#FF8C00,2001,2.73
21,FYM N2,#8B0000,2001,4.75
22,FYM,#FF0000,2001,2.24
3,Nil,#00BFFF,2001,0.35
5,PKMg,#FF00FF,2001,0.43
6,N1 PKMg,#FF4500,2001,2.15
7,N2 PKMg,#9ACD32,2001,3.09
8,N3 PKMg,#00FA9A,2001,3.83
9,N4 PKMg,#00FFFF,2001,4.75
10,N4,#8FBC8F,2002,0.38
11,N4 PMg,#7FFFD4,2002,3.8
12,N1+N3+N1 PKMg,#228B22,2002,3.85
13,N4 PK,#6B8E23,2002,5.15
14,N4 PKMg*,#008080,2002,5.13
15,N5 PKMg,#00008B,2002,6.68
16,N6 PKMg,#7B68EE,2002,8
17,N1+N4+N1 PKMg,#32CD32,2002,7.65
18,N1+N2+N1 PKMg,#FFD700,2002,6.82
19,N1+N1+N1 KMg,#FF8C00,2002,4.32
21,FYM N2,#8B0000,2002,9.26
22,FYM,#FF0000,2002,6.13
3,Nil,#00BFFF,2002,0.34
5,PKMg,#FF00FF,2002,0.72
6,N1 PKMg,#FF4500,2002,1.82
7,N2 PKMg,#9ACD32,2002,2.72
8,N3 PKMg,#00FA9A,2002,3.3
9,N4 PKMg,#00FFFF,2002,5.89
10,N4,#8FBC8F,2003,3.88
11,N4 PMg,#7FFFD4,2003,4.56
12,N1+N3+N1 PKMg,#228B22,2003,8.23
13,N4 PK,#6B8E23,2003,6.96
14,N4 PKMg*,#008080,2003,7.21
15,N5 PKMg,#00008B,2003,7.47
16,N6 PKMg,#7B68EE,2003,7.83
17,N1+N4+N1 PKMg,#32CD32,2003,7.09
18,N1+N2+N1 PKMg,#FFD700,2003,6.28
19,N1+N1+N1 KMg,#FF8C00,2003,6.16
21,FYM N2,#8B0000,2003,7.11
22,FYM,#FF0000,2003,5.15
3,Nil,#00BFFF,2003,0.18
5,PKMg,#FF00FF,2003,1.05
6,N1 PKMg,#FF4500,2003,4.23
7,N2 PKMg,#9ACD32,2003,5.88
8,N3 PKMg,#00FA9A,2003,6.94
9,N4 PKMg,#00FFFF,2003,6.65
10,N4,#8FBC8F,2004,0.12
11,N4 PMg,#7FFFD4,2004,5.07
12,N1+N3+N1 PKMg,#228B22,2004,6.08
13,N4 PK,#6B8E23,2004,3.91
14,N4 PKMg*,#008080,2004,4.88
15,N5 PKMg,#00008B,2004,4.29
16,N6 PKMg,#7B68EE,2004,6.92
17,N1+N4+N1 PKMg,#32CD32,2004,7.37
18,N1+N2+N1 PKMg,#FFD700,2004,6.23
19,N1+N1+N1 KMg,#FF8C00,2004,3.93
21,FYM N2,#8B0000,2004,5.94
22,FYM,#FF0000,2004,4.29
3,Nil,#00BFFF,2004,0.13
5,PKMg,#FF00FF,2004,0.86
6,N1 PKMg,#FF4500,2004,2.73
7,N2 PKMg,#9ACD32,2004,3.72
8,N3 PKMg,#00FA9A,2004,4.17
9,N4 PKMg,#00FFFF,2004,5.82
10,N4,#8FBC8F,2005,2.62
11,N4 PMg,#7FFFD4,2005,3.71
12,N1+N3+N1 PKMg,#228B22,2005,7.47
13,N4 PK,#6B8E23,2005,7.08
14,N4 PKMg*,#008080,2005,7.47
15,N5 PKMg,#00008B,2005,6.77
16,N6 PKMg,#7B68EE,2005,7.43
17,N1+N4+N1 PKMg,#32CD32,2005,7.09
18,N1+N2+N1 PKMg,#FFD700,2005,6.71
19,N1+N1+N1 KMg,#FF8C00,2005,6.28
21,FYM N2,#8B0000,2005,7.38
22,FYM,#FF0000,2005,6.03
3,Nil,#00BFFF,2005,0.51
5,PKMg,#FF00FF,2005,0.88
6,N1 PKMg,#FF4500,2005,3.33
7,N2 PKMg,#9ACD32,2005,4.98
8,N3 PKMg,#00FA9A,2005,6.23
9,N4 PKMg,#00FFFF,2005,7.17
10,N4,#8FBC8F,2006,0.66
11,N4 PMg,#7FFFD4,2006,5.68
12,N1+N3+N1 PKMg,#228B22,2006,8.43
13,N4 PK,#6B8E23,2006,7.28
14,N4 PKMg*,#008080,2006,7.38
15,N5 PKMg,#00008B,2006,6.33
16,N6 PKMg,#7B68EE,2006,7.47
17,N1+N4+N1 PKMg,#32CD32,2006,6.88
18,N1+N2+N1 PKMg,#FFD700,2006,5.81
19,N1+N1+N1 KMg,#FF8C00,2006,4.81
21,FYM N2,#8B0000,2006,7.66
22,FYM,#FF0000,2006,6.2
3,Nil,#00BFFF,2006,0.69
5,PKMg,#FF00FF,2006,1.14
6,N1 PKMg,#FF4500,2006,3.31
7,N2 PKMg,#9ACD32,2006,5.06
8,N3 PKMg,#00FA9A,2006,6.63
9,N4 PKMg,#00FFFF,2006,7.16
10,N4,#8FBC8F,2007,0.35
11,N4 PMg,#7FFFD4,2007,3.19
12,N1+N3+N1 PKMg,#228B22,2007,5.19
13,N4 PK,#6B8E23,2007,4.2
14,N4 PKMg*,#008080,2007,4.52
15,N5 PKMg,#00008B,2007,4.3
16,N6 PKMg,#7B68EE,2007,4.97
17,N1+N4+N1 PKMg,#32CD32,2007,4.8
18,N1+N2+N1 PKMg,#FFD700,2007,2.61
19,N1+N1+N1 KMg,#FF8C00,2007,1.3
21,FYM N2,#8B0000,2007,7.96
22,FYM,#FF0000,2007,4.96
3,Nil,#00BFFF,2007,0.17
5,PKMg,#FF00FF,2007,0.71
6,N1 PKMg,#FF4500,2007,2.19
7,N2 PKMg,#9ACD32,2007,2.24
8,N3 PKMg,#00FA9A,2007,2.89
9,N4 PKMg,#00FFFF,2007,4.89
10,N4,#8FBC8F,2008,1.85
11,N4 PMg,#7FFFD4,2008,3.87
12,N1+N3+N1 PKMg,#228B22,2008,8.34
13,N4 PK,#6B8E23,2008,7.79
14,N4 PKMg*,#008080,2008,7.06
15,N5 PKMg,#00008B,2008,8.33
16,N6 PKMg,#7B68EE,2008,8.34
17,N1+N4+N1 PKMg,#32CD32,2008,7.35
18,N1+N2+N1 PKMg,#FFD700,2008,4.58
19,N1+N1+N1 KMg,#FF8C00,2008,2.23
21,FYM N2,#8B0000,2008,8.34
22,FYM,#FF0000,2008,5.69
3,Nil,#00BFFF,2008,0.32
5,PKMg,#FF00FF,2008,0.76
6,N1 PKMg,#FF4500,2008,4.24
7,N2 PKMg,#9ACD32,2008,6.05
8,N3 PKMg,#00FA9A,2008,7.43
9,N4 PKMg,#00FFFF,2008,8.01
10,N4,#8FBC8F,2009,1.81
11,N4 PMg,#7FFFD4,2009,5.22
12,N1+N3+N1 PKMg,#228B22,2009,5.99
13,N4 PK,#6B8E23,2009,5.99
14,N4 PKMg*,#008080,2009,5.58
15,N5 PKMg,#00008B,2009,6.12
16,N6 PKMg,#7B68EE,2009,6.33
17,N1+N4+N1 PKMg,#32CD32,2009,4.84
18,N1+N2+N1 PKMg,#FFD700,2009,4.4
19,N1+N1+N1 KMg,#FF8C00,2009,4.19
21,FYM N2,#8B0000,2009,7.37
22,FYM,#FF0000,2009,5.86
3,Nil,#00BFFF,2009,0.92
5,PKMg,#FF00FF,2009,1.5
6,N1 PKMg,#FF4500,2009,3.18
7,N2 PKMg,#9ACD32,2009,4
8,N3 PKMg,#00FA9A,2009,5.11
9,N4 PKMg,#00FFFF,2009,5.37
10,N4,#8FBC8F,2010,1.4
11,N4 PMg,#7FFFD4,2010,5.39
12,N1+N3+N1 PKMg,#228B22,2010,6.49
13,N4 PK,#6B8E23,2010,5.47
14,N4 PKMg*,#008080,2010,4.95
15,N5 PKMg,#00008B,2010,6.08
16,N6 PKMg,#7B68EE,2010,5.94
17,N1+N4+N1 PKMg,#32CD32,2010,5.42
18,N1+N2+N1 PKMg,#FFD700,2010,5.07
19,N1+N1+N1 KMg,#FF8C00,2010,5.22
21,FYM N2,#8B0000,2010,5.47
22,FYM,#FF0000,2010,4.45
3,Nil,#00BFFF,2010,0.66
5,PKMg,#FF00FF,2010,1.12
6,N1 PKMg,#FF4500,2010,3.07
7,N2 PKMg,#9ACD32,2010,4.04
8,N3 PKMg,#00FA9A,2010,4.51
9,N4 PKMg,#00FFFF,2010,5.57
10,N4,#8FBC8F,2011,0.93
11,N4 PMg,#7FFFD4,2011,4.8
12,N1+N3+N1 PKMg,#228B22,2011,6.02
13,N4 PK,#6B8E23,2011,4.9
14,N4 PKMg*,#008080,2011,5.39
15,N5 PKMg,#00008B,2011,5.42
16,N6 PKMg,#7B68EE,2011,6.23
17,N1+N4+N1 PKMg,#32CD32,2011,5.81
18,N1+N2+N1 PKMg,#FFD700,2011,4.98
19,N1+N1+N1 KMg,#FF8C00,2011,2.92
21,FYM N2,#8B0000,2011,6.73
22,FYM,#FF0000,2011,5.36
3,Nil,#00BFFF,2011,0.99
5,PKMg,#FF00FF,2011,1.45
6,N1 PKMg,#FF4500,2011,2.67
7,N2 PKMg,#9ACD32,2011,3.57
8,N3 PKMg,#00FA9A,2011,4.29
9,N4 PKMg,#00FFFF,2011,4.93
10,N4,#8FBC8F,2012,1.13
11,N4 PMg,#7FFFD4,2012,2.39
12,N1+N3+N1 PKMg,#228B22,2012,7.28
13,N4 PK,#6B8E23,2012,6.49
14,N4 PKMg*,#008080,2012,6.56
15,N5 PKMg,#00008B,2012,7.17
16,N6 PKMg,#7B68EE,2012,6.99
17,N1+N4+N1 PKMg,#32CD32,2012,6.75
18,N1+N2+N1 PKMg,#FFD700,2012,7.19
19,N1+N1+N1 KMg,#FF8C00,2012,6.73
21,FYM N2,#8B0000,2012,6.93
22,FYM,#FF0000,2012,5.98
3,Nil,#00BFFF,2012,0.52
5,PKMg,#FF00FF,2012,1.56
6,N1 PKMg,#FF4500,2012,3.46
7,N2 PKMg,#9ACD32,2012,4.67
8,N3 PKMg,#00FA9A,2012,5.87
9,N4 PKMg,#00FFFF,2012,6.68
10,N4,#8FBC8F,2013,2.52
11,N4 PMg,#7FFFD4,2013,3.62
12,N1+N3+N1 PKMg,#228B22,2013,5.93
13,N4 PK,#6B8E23,2013,6.09
14,N4 PKMg*,#008080,2013,6.6
15,N5 PKMg,#00008B,2013,5.31
16,N6 PKMg,#7B68EE,2013,5.23
17,N1+N4+N1 PKMg,#32CD32,2013,5.01
18,N1+N2+N1 PKMg,#FFD700,2013,5.23
19,N1+N1+N1 KMg,#FF8C00,2013,4.31
21,FYM N2,#8B0000,2013,5.44
22,FYM,#FF0000,2013,6
3,Nil,#00BFFF,2013,1.32
5,PKMg,#FF00FF,2013,1.84
6,N1 PKMg,#FF4500,2013,3.64
7,N2 PKMg,#9ACD32,2013,5.08
8,N3 PKMg,#00FA9A,2013,6.15
9,N4 PKMg,#00FFFF,2013,5.68
10,N4,#8FBC8F,2014,2.05
11,N4 PMg,#7FFFD4,2014,7.87
12,N1+N3+N1 PKMg,#228B22,2014,8.5
13,N4 PK,#6B8E23,2014,7.49
14,N4 PKMg*,#008080,2014,7.63
15,N5 PKMg,#00008B,2014,8.09
16,N6 PKMg,#7B68EE,2014,8.45
17,N1+N4+N1 PKMg,#32CD32,2014,7.86
18,N1+N2+N1 PKMg,#FFD700,2014,8.23
19,N1+N1+N1 KMg,#FF8C00,2014,7.66
21,FYM N2,#8B0000,2014,8.43
22,FYM,#FF0000,2014,4.84
3,Nil,#00BFFF,2014,1.08
5,PKMg,#FF00FF,2014,1.01
6,N1 PKMg,#FF4500,2014,2.77
7,N2 PKMg,#9ACD32,2014,4.37
8,N3 PKMg,#00FA9A,2014,6.11
9,N4 PKMg,#00FFFF,2014,6.87
10,N4,#8FBC8F,2015,2.62
11,N4 PMg,#7FFFD4,2015,3.48
12,N1+N3+N1 PKMg,#228B22,2015,6.2
13,N4 PK,#6B8E23,2015,5.46
14,N4 PKMg*,#008080,2015,5.85
15,N5 PKMg,#00008B,2015,4.65
16,N6 PKMg,#7B68EE,2015,5.61
17,N1+N4+N1 PKMg,#32CD32,2015,6.11
18,N1+N2+N1 PKMg,#FFD700,2015,5.05
19,N1+N1+N1 KMg,#FF8C00,2015,4.9
21,FYM N2,#8B0000,2015,5.49
22,FYM,#FF0000,2015,6.19
3,Nil,#00BFFF,2015,0.98
5,PKMg,#FF00FF,2015,1.36
6,N1 PKMg,#FF4500,2015,3.3
7,N2 PKMg,#9ACD32,2015,4.62
8,N3 PKMg,#00FA9A,2015,5.46
9,N4 PKMg,#00FFFF,2015,6.38
10,N4,#8FBC8F,2016,0.99
11,N4 PMg,#7FFFD4,2016,6.36
12,N1+N3+N1 PKMg,#228B22,2016,9.81
13,N4 PK,#6B8E23,2016,8.21
14,N4 PKMg*,#008080,2016,7.62
15,N5 PKMg,#00008B,2016,9.67
16,N6 PKMg,#7B68EE,2016,9.63
17,N1+N4+N1 PKMg,#32CD32,2016,9.9
18,N1+N2+N1 PKMg,#FFD700,2016,8.99
19,N1+N1+N1 KMg,#FF8C00,2016,6.98
21,FYM N2,#8B0000,2016,9.84
22,FYM,#FF0000,2016,5.65
3,Nil,#00BFFF,2016,0.74
5,PKMg,#FF00FF,2016,0.8
6,N1 PKMg,#FF4500,2016,2.59
7,N2 PKMg,#9ACD32,2016,4.48
8,N3 PKMg,#00FA9A,2016,6.7
9,N4 PKMg,#00FFFF,2016,7.16
10,N4,#8FBC8F,2017,2.48
11,N4 PMg,#7FFFD4,2017,3.07
12,N1+N3+N1 PKMg,#228B22,2017,5.46
13,N4 PK,#6B8E23,2017,4.94
14,N4 PKMg*,#008080,2017,5.51
15,N5 PKMg,#00008B,2017,4.39
16,N6 PKMg,#7B68EE,2017,4.26
17,N1+N4+N1 PKMg,#32CD32,2017,6.03
18,N1+N2+N1 PKMg,#FFD700,2017,4.89
19,N1+N1+N1 KMg,#FF8C00,2017,5.27
21,FYM N2,#8B0000,2017,7.12
22,FYM,#FF0000,2017,6.37
3,Nil,#00BFFF,2017,0.44
5,PKMg,#FF00FF,2017,0.98
6,N1 PKMg,#FF4500,2017,3.43
7,N2 PKMg,#9ACD32,2017,4.03
8,N3 PKMg,#00FA9A,2017,4.96
9,N4 PKMg,#00FFFF,2017,3.96
10,N4,#8FBC8F,2018,1.06
11,N4 PMg,#7FFFD4,2018,5.03
12,N1+N3+N1 PKMg,#228B22,2018,7.21
13,N4 PK,#6B8E23,2018,7.16
14,N4 PKMg*,#008080,2018,6.56
15,N5 PKMg,#00008B,2018,6.49
16,N6 PKMg,#7B68EE,2018,7.38
17,N1+N4+N1 PKMg,#32CD32,2018,7.22
18,N1+N2+N1 PKMg,#FFD700,2018,7.08
19,N1+N1+N1 KMg,#FF8C00,2018,6.03
21,FYM N2,#8B0000,2018,7.87
22,FYM,#FF0000,2018,6.36
3,Nil,#00BFFF,2018,0.44
5,PKMg,#FF00FF,2018,0.52
6,N1 PKMg,#FF4500,2018,2.56
7,N2 PKMg,#9ACD32,2018,4.59
8,N3 PKMg,#00FA9A,2018,6.38
9,N4 PKMg,#00FFFF,2018,6.98
